dato,uke_start,aar,maaned,ukenummer,ukedag,er_helg,er_helligdag,sesong
2024-07-03,2024-07-01,2024,7,27,3,False,False,sommer
2024-07-04,2024-07-01,2024,7,27,4,False,False,sommer
2024-07-05,2024-07-01,2024,7,27,5,False,False,sommer
2024-07-06,2024-07-01,2024,7,27,6,True,False,sommer
2024-07-07,2024-07-01,2024,7,27,7,True,False,sommer
2024-07-08,2024-07-08,2024,7,28,1,False,False,sommer
2024-07-09,2024-07-08,2024,7,28,2,False,False,sommer
2024-07-10,2024-07-08,2024,7,28,3,False,False,sommer
2024-07-11,2024-07-08,2024,7,28,4,False,False,sommer
2024-07-12,2024-07-08,2024,7,28,5,False,False,sommer
2024-07-13,2024-07-08,2024,7,28,6,True,False,sommer
2024-07-14,2024-07-08,2024,7,28,7,True,False,sommer
2024-07-15,2024-07-15,2024,7,29,1,False,False,sommer
2024-07-16,2024-07-15,2024,7,29,2,False,False,sommer
2024-07-17,2024-07-15,2024,7,29,3,False,False,sommer
2024-07-18,2024-07-15,2024,7,29,4,False,False,sommer
2024-07-19,2024-07-15,2024,7,29,5,False,False,sommer
2024-07-20,2024-07-15,2024,7,29,6,True,False,sommer
2024-07-21,2024-07-15,2024,7,29,7,True,False,sommer
2024-07-22,2024-07-22,2024,7,30,1,False,False,sommer
2024-07-23,2024-07-22,2024,7,30,2,False,False,sommer
2024-07-24,2024-07-22,2024,7,30,3,False,False,sommer
2024-07-25,2024-07-22,2024,7,30,4,False,False,sommer
2024-07-26,2024-07-22,2024,7,30,5,False,False,sommer
2024-07-27,2024-07-22,2024,7,30,6,True,False,sommer
2024-07-28,2024-07-22,2024,7,30,7,True,False,sommer
2024-07-29,2024-07-29,2024,7,31,1,False,False,sommer
2024-07-30,2024-07-29,2024,7,31,2,False,False,sommer
2024-07-31,2024-07-29,2024,7,31,3,False,False,sommer
2024-08-01,2024-07-29,2024,8,31,4,False,False,sommer
2024-08-02,2024-07-29,2024,8,31,5,False,False,sommer
2024-08-03,2024-07-29,2024,8,31,6,True,False,sommer
2024-08-04,2024-07-29,2024,8,31,7,True,False,sommer
2024-08-05,2024-08-05,2024,8,32,1,False,False,sommer
2024-08-06,2024-08-05,2024,8,32,2,False,False,sommer
2024-08-07,2024-08-05,2024,8,32,3,False,False,sommer
2024-08-08,2024-08-05,2024,8,32,4,False,False,sommer
2024-08-09,2024-08-05,2024,8,32,5,False,False,sommer
2024-08-10,2024-08-05,2024,8,32,6,True,False,sommer
2024-08-11,2024-08-05,2024,8,32,7,True,False,sommer
2024-08-12,2024-08-12,2024,8,33,1,False,False,sommer
2024-08-13,2024-08-12,2024,8,33,2,False,False,sommer
2024-08-14,2024-08-12,2024,8,33,3,False,False,sommer
2024-08-15,2024-08-12,2024,8,33,4,False,False,sommer
2024-08-16,2024-08-12,2024,8,33,5,False,False,sommer
2024-08-17,2024-08-12,2024,8,33,6,True,False,sommer
2024-08-18,2024-08-12,2024,8,33,7,True,False,sommer
2024-08-19,2024-08-19,2024,8,34,1,False,False,sommer
2024-08-20,2024-08-19,2024,8,34,2,False,False,sommer
2024-08-21,2024-08-19,2024,8,34,3,False,False,sommer
2024-08-22,2024-08-19,2024,8,34,4,False,False,sommer
2024-08-23,2024-08-19,2024,8,34,5,False,False,sommer
2024-08-24,2024-08-19,2024,8,34,6,True,False,sommer
2024-08-25,2024-08-19,2024,8,34,7,True,False,sommer
2024-08-26,2024-08-26,2024,8,35,1,False,False,sommer
2024-08-27,2024-08-26,2024,8,35,2,False,False,sommer
2024-08-28,2024-08-26,2024,8,35,3,False,False,sommer
2024-08-29,2024-08-26,2024,8,35,4,False,False,sommer
2024-08-30,2024-08-26,2024,8,35,5,False,False,sommer
2024-08-31,2024-08-26,2024,8,35,6,True,False,sommer
2024-09-01,2024-08-26,2024,9,35,7,True,False,hoest
2024-09-02,2024-09-02,2024,9,36,1,False,False,hoest
2024-09-03,2024-09-02,2024,9,36,2,False,False,hoest
2024-09-04,2024-09-02,2024,9,36,3,False,False,hoest
2024-09-05,2024-09-02,2024,9,36,4,False,False,hoest
2024-09-06,2024-09-02,2024,9,36,5,False,False,hoest
2024-09-07,2024-09-02,2024,9,36,6,True,False,hoest
2024-09-08,2024-09-02,2024,9,36,7,True,False,hoest
2024-09-09,2024-09-09,2024,9,37,1,False,False,hoest
2024-09-10,2024-09-09,2024,9,37,2,False,False,hoest
2024-09-11,2024-09-09,2024,9,37,3,False,False,hoest
2024-09-12,2024-09-09,2024,9,37,4,False,False,hoest
2024-09-13,2024-09-09,2024,9,37,5,False,False,hoest
2024-09-14,2024-09-09,2024,9,37,6,True,False,hoest
2024-09-15,2024-09-09,2024,9,37,7,True,False,hoest
2024-09-16,2024-09-16,2024,9,38,1,False,False,hoest
2024-09-17,2024-09-16,2024,9,38,2,False,False,hoest
2024-09-18,2024-09-16,2024,9,38,3,False,False,hoest
2024-09-19,2024-09-16,2024,9,38,4,False,False,hoest
2024-09-20,2024-09-16,2024,9,38,5,False,False,hoest
2024-09-21,2024-09-16,2024,9,38,6,True,False,hoest
2024-09-22,2024-09-16,2024,9,38,7,True,False,hoest
2024-09-23,2024-09-23,2024,9,39,1,False,False,hoest
2024-09-24,2024-09-23,2024,9,39,2,False,False,hoest
2024-09-25,2024-09-23,2024,9,39,3,False,False,hoest
2024-09-26,2024-09-23,2024,9,39,4,False,False,hoest
2024-09-27,2024-09-23,2024,9,39,5,False,False,hoest
2024-09-28,2024-09-23,2024,9,39,6,True,False,hoest
2024-09-29,2024-09-23,2024,9,39,7,True,False,hoest
2024-09-30,2024-09-30,2024,9,40,1,False,False,hoest
2024-10-01,2024-09-30,2024,10,40,2,False,False,hoest
2024-10-02,2024-09-30,2024,10,40,3,False,False,hoest
2024-10-03,2024-09-30,2024,10,40,4,False,False,hoest
2024-10-04,2024-09-30,2024,10,40,5,False,False,hoest
2024-10-05,2024-09-30,2024,10,40,6,True,False,hoest
2024-10-06,2024-09-30,2024,10,40,7,True,False,hoest
2024-10-07,2024-10-07,2024,10,41,1,False,False,hoest
2024-10-08,2024-10-07,2024,10,41,2,False,False,hoest
2024-10-09,2024-10-07,2024,10,41,3,False,False,hoest
2024-10-10,2024-10-07,2024,10,41,4,False,False,hoest
2024-10-11,2024-10-07,2024,10,41,5,False,False,hoest
2024-10-12,2024-10-07,2024,10,41,6,True,False,hoest
2024-10-13,2024-10-07,2024,10,41,7,True,False,hoest
2024-10-14,2024-10-14,2024,10,42,1,False,False,hoest
2024-10-15,2024-10-14,2024,10,42,2,False,False,hoest
2024-10-16,2024-10-14,2024,10,42,3,False,False,hoest
2024-10-17,2024-10-14,2024,10,42,4,False,False,hoest
2024-10-18,2024-10-14,2024,10,42,5,False,False,hoest
2024-10-19,2024-10-14,2024,10,42,6,True,False,hoest
2024-10-20,2024-10-14,2024,10,42,7,True,False,hoest
2024-10-21,2024-10-21,2024,10,43,1,False,False,hoest
2024-10-22,2024-10-21,2024,10,43,2,False,False,hoest
2024-10-23,2024-10-21,2024,10,43,3,False,False,hoest
2024-10-24,2024-10-21,2024,10,43,4,False,False,hoest
2024-10-25,2024-10-21,2024,10,43,5,False,False,hoest
2024-10-26,2024-10-21,2024,10,43,6,True,False,hoest
2024-10-27,2024-10-21,2024,10,43,7,True,False,hoest
2024-10-28,2024-10-28,2024,10,44,1,False,False,hoest
2024-10-29,2024-10-28,2024,10,44,2,False,False,hoest
2024-10-30,2024-10-28,2024,10,44,3,False,False,hoest
2024-10-31,2024-10-28,2024,10,44,4,False,False,hoest
2024-11-01,2024-10-28,2024,11,44,5,False,False,hoest
2024-11-02,2024-10-28,2024,11,44,6,True,False,hoest
2024-11-03,2024-10-28,2024,11,44,7,True,False,hoest
2024-11-04,2024-11-04,2024,11,45,1,False,False,hoest
2024-11-05,2024-11-04,2024,11,45,2,False,False,hoest
2024-11-06,2024-11-04,2024,11,45,3,False,False,hoest
2024-11-07,2024-11-04,2024,11,45,4,False,False,hoest
2024-11-08,2024-11-04,2024,11,45,5,False,False,hoest
2024-11-09,2024-11-04,2024,11,45,6,True,False,hoest
2024-11-10,2024-11-04,2024,11,45,7,True,False,hoest
2024-11-11,2024-11-11,2024,11,46,1,False,False,hoest
2024-11-12,2024-11-11,2024,11,46,2,False,False,hoest
2024-11-13,2024-11-11,2024,11,46,3,False,False,hoest
2024-11-14,2024-11-11,2024,11,46,4,False,False,hoest
2024-11-15,2024-11-11,2024,11,46,5,False,False,hoest
2024-11-16,2024-11-11,2024,11,46,6,True,False,hoest
2024-11-17,2024-11-11,2024,11,46,7,True,False,hoest
2024-11-18,2024-11-18,2024,11,47,1,False,False,hoest
2024-11-19,2024-11-18,2024,11,47,2,False,False,hoest
2024-11-20,2024-11-18,2024,11,47,3,False,False,hoest
2024-11-21,2024-11-18,2024,11,47,4,False,False,hoest
2024-11-22,2024-11-18,2024,11,47,5,False,False,hoest
2024-11-23,2024-11-18,2024,11,47,6,True,False,hoest
2024-11-24,2024-11-18,2024,11,47,7,True,False,hoest
2024-11-25,2024-11-25,2024,11,48,1,False,False,hoest
2024-11-26,2024-11-25,2024,11,48,2,False,False,hoest
2024-11-27,2024-11-25,2024,11,48,3,False,False,hoest
2024-11-28,2024-11-25,2024,11,48,4,False,False,hoest
2024-11-29,2024-11-25,2024,11,48,5,False,False,hoest
2024-11-30,2024-11-25,2024,11,48,6,True,False,hoest
2024-12-01,2024-11-25,2024,12,48,7,True,False,vinter
2024-12-02,2024-12-02,2024,12,49,1,False,False,vinter
2024-12-03,2024-12-02,2024,12,49,2,False,False,vinter
2024-12-04,2024-12-02,2024,12,49,3,False,False,vinter
2024-12-05,2024-12-02,2024,12,49,4,False,False,vinter
2024-12-06,2024-12-02,2024,12,49,5,False,False,vinter
2024-12-07,2024-12-02,2024,12,49,6,True,False,vinter
2024-12-08,2024-12-02,2024,12,49,7,True,False,vinter
2024-12-09,2024-12-09,2024,12,50,1,False,False,vinter
2024-12-10,2024-12-09,2024,12,50,2,False,False,vinter
2024-12-11,2024-12-09,2024,12,50,3,False,False,vinter
2024-12-12,2024-12-09,2024,12,50,4,False,False,vinter
2024-12-13,2024-12-09,2024,12,50,5,False,False,vinter
2024-12-14,2024-12-09,2024,12,50,6,True,False,vinter
2024-12-15,2024-12-09,2024,12,50,7,True,False,vinter
2024-12-16,2024-12-16,2024,12,51,1,False,False,vinter
2024-12-17,2024-12-16,2024,12,51,2,False,False,vinter
2024-12-18,2024-12-16,2024,12,51,3,False,False,vinter
2024-12-19,2024-12-16,2024,12,51,4,False,False,vinter
2024-12-20,2024-12-16,2024,12,51,5,False,False,vinter
2024-12-21,2024-12-16,2024,12,51,6,True,False,vinter
2024-12-22,2024-12-16,2024,12,51,7,True,False,vinter
2024-12-23,2024-12-23,2024,12,52,1,False,False,vinter
2024-12-24,2024-12-23,2024,12,52,2,False,False,vinter
2024-12-25,2024-12-23,2024,12,52,3,False,True,vinter
2024-12-26,2024-12-23,2024,12,52,4,False,True,vinter
2024-12-27,2024-12-23,2024,12,52,5,False,False,vinter
2024-12-28,2024-12-23,2024,12,52,6,True,False,vinter
2024-12-29,2024-12-23,2024,12,52,7,True,False,vinter
2024-12-30,2024-12-30,2024,12,1,1,False,False,vinter
2024-12-31,2024-12-30,2024,12,1,2,False,False,vinter
