Fartøy ID,Registreringsmerke,Fartøynavn,Fartøytype,Fartøygruppe,Lengde (meter),Lengdegruppe,Bredde (meter),Bruttotonnasje,Byggeår,Motorkraft (kW),Hjemkommune,Nasjonalitet
1980006143,N 0014LF,RUNA ELIDA,Fiskefartøy,Kyst,10.66,Under 11 m,3.66,11,1956,83.8235294117647,LEIRFJORD,NORGE
1980010057,N 0026Ø,HAVBRIS JR,Fiskefartøy,Kyst,10.65,Under 11 m,3.9,15,1976,148.52941176470588,ØKSNES,NORGE
1980010575,TF0040M,OMEGA,Fiskefartøy,Kyst,12.87,"11-14,99 m",3.96,17,1980,183.8235294117647,MÅSØY,NORGE
1980011127,T 0012L,FJORDBAS,Fiskefartøy,Kyst,10.22,Under 11 m,3.2,11,1980,58.8235294117647,LYNGEN,NORGE
1980011421,T 0188S,SØRHOLMEN,Fiskefartøy,Kyst,10.22,Under 11 m,3.2,,1980,45.588235294117645,SKJERVØY,NORGE
1980011942,T 0009KD,HENRY,Fiskefartøy,Kyst,6.74,Under 11 m,2.26,2,1980,45.588235294117645,KÅFJORD,NORGE
1981000886,TF0007HV,MADS HELGE,Fiskefartøy,Kyst,10.97,Under 11 m,3.89,17,1981,88.23529411764706,HASVIK,NORGE
1981004649,TF0082NK,ANTON EMILIAN,Fiskefartøy,Kyst,10.37,Under 11 m,3.24,10,1980,110.29411764705881,NORDKAPP,NORGE
1981006426,TF0100M,GENERALN,Fiskefartøy,Kyst,10.26,Under 11 m,3.23,8,1973,93.38235294117646,MÅSØY,NORGE
1981006794,N 0130R,STORMSUND,Fiskefartøy,Kyst,9.45,Under 11 m,3.48,8,1981,93.38235294117646,RØDØY,NORGE
1981008474,TF0004L,FUGLØYFJELL,Fiskefartøy,Kyst større,28.81,28 m og over ,8.0,280,1976,577.9411764705882,LYNGEN,NORGE
1981009817,TR0002T,VIKING,Fiskefartøy,Kyst,10.35,Under 11 m,3.73,11,1980,99.26470588235293,TRONDHEIM,NORGE
1981010339,TF0065T,KARLO,Fiskefartøy,Kyst,10.66,Under 11 m,3.41,11,1979,111.76470588235293,TROMSØ,NORGE
1981011828,F 0022V,STØA,Fiskefartøy,Kyst,10.22,Under 11 m,3.5,10,1981,83.8235294117647,VARDØ,NORGE
1981011911,T 0399K,LENA,Fiskefartøy,Kyst,5.65,Under 11 m,2.2,,1981,18.38235294117647,KARLSØY,NORGE
1981012229,T 0825T,TERNA,Fiskefartøy,Kyst,9.51,Under 11 m,3.06,9,1981,88.23529411764706,TROMSØ,NORGE
1981012352,T 0152K,TERNA,Fiskefartøy,Kyst,7.91,Under 11 m,2.64,4,1979,66.17647058823529,KARLSØY,NORGE
1982003787,M 0053SA,SOFFE,Fiskefartøy,Kyst,10.24,Under 11 m,3.29,9,1982,84.55882352941175,SULA,NORGE
1982003829,T 0040T,IDA THERESE,Fiskefartøy,Kyst større,20.93,"15-20,99 m",5.82,91,1982,404.4117647058823,TROMSØ,NORGE
1982003916,TF0015B,ELLABELLA,Fiskefartøy,Kyst,10.03,Under 11 m,3.2,10,1982,111.76470588235293,BERLEVÅG,NORGE
1982004544,M 0131AE,IMARSUND,Fiskefartøy,Kyst,7.6,Under 11 m,2.65,3,1979,16.176470588235293,AURE,NORGE
1982004592,M 0149HØ,TALA,Fiskefartøy,Kyst,10.34,Under 11 m,3.27,9,1977,84.55882352941175,HERØY i Møre og Romsdal,NORGE
1982004771,M 0249F,VITO,Fiskefartøy,Kyst,10.6,Under 11 m,3.16,12,1982,111.76470588235293,HUSTADVIKA,NORGE
1982005842,N 0046BL,DAG,Fiskefartøy,Kyst,10.2,Under 11 m,3.64,11,1982,73.52941176470588,BINDAL,NORGE
1982006889,N 0048VA,JUSIKA,Fiskefartøy,Kyst,9.44,Under 11 m,3.11,8,1971,60.29411764705882,VEGA,NORGE
1982007393,N 0006LF,TRITON,Fiskefartøy,Kyst,10.58,Under 11 m,3.62,14,1982,111.76470588235293,LEIRFJORD,NORGE
1982007975,TR0009V,SETTNØY JR,Fiskefartøy,Kyst,10.61,Under 11 m,3.35,12,1982,102.94117647058823,NÆRØYSUND,NORGE
1982010049,N 0033ME,GLOMNES,Fiskefartøy,Kyst,10.61,Under 11 m,4.21,14,1982,136.02941176470588,MELØY,NORGE
1982011155,TF0011SE,JEGERINNEN,Fiskefartøy,Kyst,10.39,Under 11 m,3.35,11,1982,80.88235294117646,SENJA,NORGE
1982011276,T 0154KD,BUSTER,Fiskefartøy,Kyst,5.02,Under 11 m,1.69,,1981,14.705882352941176,KÅFJORD,NORGE
1982011381,T 0178K,TUNFISK,Fiskefartøy,Kyst,8.6,Under 11 m,2.5,3,1982,93.38235294117646,KARLSØY,NORGE
1982011534,TF0043V,MARIE K,Samfiskefartøy,Kyst,12.83,"11-14,99 m",3.96,17,1982,199.99999999999997,VARDØ,NORGE
1982011615,F 0028BD,HUSVÆRSUND,Fiskefartøy,Kyst,12.83,"11-14,99 m",3.96,17,1979,257.35294117647055,BÅTSFJORD,NORGE
1982011887,TF0006HV,LONGHORN,Fiskefartøy,Kyst,10.14,Under 11 m,3.06,9,1977,88.23529411764706,HASVIK,NORGE
1982012289,TF0088NK,STANGNES,Fiskefartøy,Kyst,9.45,Under 11 m,3.05,9,1979,88.23529411764706,NORDKAPP,NORGE
1982012316,VL0044A,ALKEN,Fiskefartøy,Kyst,9.44,Under 11 m,3.04,8,1982,62.49999999999999,ASKVOLL,NORGE
1983001142,F 0102NK,PONTOS,Fiskefartøy,Kyst,10.5,Under 11 m,3.45,12,1982,73.52941176470588,NORDKAPP,NORGE
1983001550,N 0020L,NARGTIND,Fiskefartøy,Kyst,14.25,"11-14,99 m",4.3,21,1982,183.8235294117647,LURØY,NORGE
1983004060,F 0014NK,RANNFRID,Fiskefartøy,Kyst,10.25,Under 11 m,3.1,7,1983,110.29411764705881,NORDKAPP,NORGE
1983004220,TR0006HM,BAKKEGUT,Fiskefartøy,Kyst,9.18,Under 11 m,3.14,8,1979,59.55882352941176,HEIM,NORGE
1983004654,Ø 0003H,ORSKJÆR,Fiskefartøy,Hav,35.17,28 m og over ,6.9,320,1982,730.1470588235294,HVALER,NORGE
1983004746,T 0002KN,INGRID,Fiskefartøy,Kyst,10.62,Under 11 m,3.2,12,1982,84.55882352941175,KVÆNANGEN,NORGE
1983004930,F 0094H,KRIGER SENIOR,Fiskefartøy,Kyst større,20.3,"15-20,99 m",5.81,76,1983,350.735294117647,HAMMERFEST,NORGE
1983005732,N 0040BØ,EVA SOFIE,Fiskefartøy,Kyst,10.53,Under 11 m,4.04,14,1983,110.29411764705881,BØ i Nordland,NORGE
1983006274,N 0033V,STENSVOLD SENIOR,Fiskefartøy,Kyst,12.88,"11-14,99 m",3.8,12,1961,152.94117647058823,VÅGAN,NORGE
1983006464,N 0094L,HÅLØYGER,Fiskefartøy,Kyst,12.22,"11-14,99 m",3.89,14,1981,117.6470588235294,LURØY,NORGE
1983006959,N 0060VV,BRAGE,Fiskefartøy,Kyst,10.64,Under 11 m,3.41,11,1978,113.97058823529412,VESTVÅGØY,NORGE
1983007478,N 0012VV,BORGVÆR,Fiskefartøy,Kyst,9.47,Under 11 m,2.98,8,1982,99.26470588235293,VESTVÅGØY,NORGE
1983007890,TF0017LA,CATHMAR,Fiskefartøy,Kyst,10.06,Under 11 m,2.99,8,1973,73.52941176470588,LOPPA,NORGE
1983008437,R 0003TV,KROLEI,Fiskefartøy,Kyst,10.62,Under 11 m,3.89,15,1983,101.47058823529412,TYSVÆR,NORGE
1983009373,F 0032NK,GULLSKJÆR JUNIOR,Fiskefartøy,Kyst,10.99,Under 11 m,3.4,11,1983,154.41176470588235,NORDKAPP,NORGE
1983009543,N 0228F,NYGÅRD SENIOR,Fiskefartøy,Kyst større,26.33,"21-27,99 m",7.68,169,1961,312.5,FLAKSTAD,NORGE
1983009963,M 0022AE,NORODD,Fiskefartøy,Kyst,9.57,Under 11 m,3.15,8,1976,62.49999999999999,AURE,NORGE
1983012195,T 0028LK,VIKAGUTT,Fiskefartøy,Kyst,7.18,Under 11 m,2.56,3,1981,73.52941176470588,SENJA,NORGE
1983013558,ST0033T,RITA MARIE,Fiskefartøy,Kyst,10.0,Under 11 m,3.4,10,1983,60.29411764705882,TRONDHEIM,NORGE
1984000374,M 0071SA,GETO,Fiskefartøy,Kyst,9.48,Under 11 m,3.2,8,1978,49.99999999999999,SULA,NORGE
1984001675,TF0037T,SANDVIKNES,Fiskefartøy,Kyst,14.99,"11-14,99 m",4.59,24,1967,175.0,TROMSØ,NORGE
1984002278,F 0101NK,RICHARD J,Fiskefartøy,Kyst,10.12,Under 11 m,3.51,10,1979,71.3235294117647,NORDKAPP,NORGE
1984002515,TF0022T,MULEN,Fiskefartøy,Kyst,10.65,Under 11 m,3.17,7,1984,99.26470588235293,TROMSØ,NORGE
1984002595,R 0031K,JOHLENA,Fiskefartøy,Kyst,14.16,"11-14,99 m",4.38,23,1984,127.20588235294117,KARMØY,NORGE
1984003241,VL0019B,STORMEN,Fiskefartøy,Kyst,7.99,Under 11 m,3.05,5,1982,62.49999999999999,BØMLO,NORGE
1984003616,M 0016VD,SANDRA HELEN,Fiskefartøy,Kyst,9.45,Under 11 m,3.2,8,1984,70.58823529411764,ØRSTA,NORGE
1984003885,NT0051NR,SILJE,Fiskefartøy,Kyst,6.7,Under 11 m,2.3,2,1979,27.941176470588232,NÆRØYSUND,NORGE
1984004541,M 0003VD,HAVSOL,Fiskefartøy,Kyst,10.61,Under 11 m,3.34,9,1984,52.94117647058823,ØRSTA,NORGE
1984004710,M 0081A,BJØRNHAUG,Fiskefartøy,Hav,34.9,28 m og over ,9.5,470,1980,955.8823529411764,ÅLESUND,NORGE
1984004935,N 0085VV,COD KILLER SENIOR,Fiskefartøy,Kyst,10.65,Under 11 m,3.0,9,1984,147.05882352941177,VESTVÅGØY,NORGE
1984005386,N 0022BØ,KRUSHOLMEN,Fiskefartøy,Kyst,10.66,Under 11 m,4.0,12,1984,101.47058823529412,BØ i Nordland,NORGE
1984005700,NT0016VL,THORALF,Fiskefartøy,Kyst,8.7,Under 11 m,3.2,6,1984,49.99999999999999,VERDAL,NORGE
1984005922,N 0052A,ODD JUNIOR,Fiskefartøy,Kyst,8.07,Under 11 m,2.87,5,1984,57.35294117647059,ANDØY,NORGE
1984006926,N 0051TF,SOLSTRÅLEN,Fiskefartøy,Kyst,10.2,Under 11 m,,11,1984,80.88235294117646,NARVIK,NORGE
1984007017,N 0165MS,SANDVÆR,Fiskefartøy,Kyst større,20.1,"15-20,99 m",5.68,72,1972,404.4117647058823,MOSKENES,NORGE
1984007148,N 0127A,MELAVÆRING,Fiskefartøy,Kyst,7.7,Under 11 m,2.62,4,1983,36.76470588235294,ANDØY,NORGE
1984008004,NT0001VN,JAN IVAR,Fiskefartøy,Kyst,7.93,Under 11 m,2.74,4,1984,35.29411764705882,STEINKJER,NORGE
1984008184,NT0064V,LYNN MARY,Fiskefartøy,Kyst,9.48,Under 11 m,3.08,7,1976,66.17647058823529,NÆRØYSUND,NORGE
1984008356,N 0075Ø,ROGNAN JR,Fiskefartøy,Kyst,10.14,Under 11 m,3.3,9,1983,52.94117647058823,ØKSNES,NORGE
1984009765,N 0007BØ,PIRAYA,Fiskefartøy,Kyst,9.0,Under 11 m,3.2,8,1984,61.764705882352935,BØ i Nordland,NORGE
1984010334,TR0114ND,SJÅNES,Fiskefartøy,Kyst,10.15,Under 11 m,3.25,10,1974,73.52941176470588,NÆRØYSUND,NORGE
1984011089,T 0067SE,REMO,Fiskefartøy,Kyst,7.75,Under 11 m,2.65,4,1984,29.41176470588235,SENJA,NORGE
1985002058,F 0072HV,ØYFJORD,Fiskefartøy,Kyst,10.4,Under 11 m,3.3,11,1985,58.8235294117647,HASVIK,NORGE
1985002140,TF0027V,MANTAS,Fiskefartøy,Kyst,7.85,Under 11 m,2.6,4,1983,35.29411764705882,VARDØ,NORGE
1985002702,F 0243L,KANES,Fiskefartøy,Kyst,9.45,Under 11 m,3.06,8,1984,47.79411764705882,LOPPA,NORGE
1985003281,N 0018TN,GAISLER,Fiskefartøy,Kyst,10.66,Under 11 m,3.98,12,1984,91.17647058823529,TRÆNA,NORGE
1985004811,TF0023VS,HAVPERLA,Fiskefartøy,Kyst,9.27,Under 11 m,3.15,8,1984,61.764705882352935,VADSØ,NORGE
1985007212,N 0203F,RINGSKJÆR NORD,Fiskefartøy,Kyst,19.26,"15-20,99 m",5.82,47,1978,220.58823529411762,FLAKSTAD,NORGE
1985007862,N 0050BR,STIAN,Fiskefartøy,Kyst,9.25,Under 11 m,3.2,8,1985,52.94117647058823,BRØNNØY,NORGE
1985008264,NT0121LA,LEKAVÆRING,Fiskefartøy,Kyst,9.15,Under 11 m,3.0,7,1985,36.76470588235294,LEKA,NORGE
1985008470,R 0020B,VÅGHOLM,Fiskefartøy,Kyst,10.6,Under 11 m,3.8,12,1985,139.70588235294116,BOKN,NORGE
1985008748,R 0024B,VÅGAN,Fiskefartøy,Kyst,10.98,Under 11 m,3.84,15,1980,183.8235294117647,BOKN,NORGE
1985008851,VL0117SO,SIGNORA,Fiskefartøy,Kyst,7.93,Under 11 m,2.68,4,1985,22.058823529411764,SVEIO,NORGE
1985009698,TR0006SI,VIKASKJÆR,Fiskefartøy,Kyst,10.98,Under 11 m,3.41,8,1985,93.38235294117646,HEIM,NORGE
1985010342,M 0010AK,ELLIVER,Fiskefartøy,Kyst,12.05,"11-14,99 m",3.46,10,1985,128.67647058823528,AUKRA,NORGE
1985010560,F 0104G,KUNTZEGUTT,Fiskefartøy,Kyst,12.96,"11-14,99 m",3.96,17,1977,209.55882352941174,GAMVIK,NORGE
1985010735,TF0009K,TOFTEN,Fiskefartøy,Kyst,7.65,Under 11 m,2.44,5,1973,22.058823529411764,KARLSØY,NORGE
1985010951,T 0091T,STIAN JR,Fiskefartøy,Kyst,8.2,Under 11 m,3.0,5,1985,41.17647058823529,TROMSØ,NORGE
1985011392,T 0180T,FIDEL,Fiskefartøy,Kyst,11.66,"11-14,99 m",4.08,14,1976,101.47058823529412,TROMSØ,NORGE
1985011522,F 0018L,KORSHOLM,Fiskefartøy,Kyst,10.66,Under 11 m,3.41,11,1976,169.1176470588235,LOPPA,NORGE
1985012085,TF0068LA,SOLGLØTT,Fiskefartøy,Kyst,10.58,Under 11 m,2.91,10,1985,110.29411764705881,LOPPA,NORGE
1986000104,F 0089V,MONSNES,Fiskefartøy,Kyst,10.65,Under 11 m,,9,1986,80.1470588235294,VARDØ,NORGE
1986000293,TF0018SV,JOSEFINE,Fiskefartøy,Kyst,10.5,Under 11 m,3.4,11,1982,94.11764705882352,SØR-VARANGER,NORGE
1986000752,TR0006H,MONA,Fiskefartøy,Kyst,9.24,Under 11 m,3.22,7,1986,55.882352941176464,HITRA,NORGE
1986001762,F 0012VS,GOLNES,Fiskefartøy,Kyst,10.66,Under 11 m,3.5,9,1979,75.0,VADSØ,NORGE
1986002025,F 0067NK,STÅL TROND,Fiskefartøy,Kyst,14.2,"11-14,99 m",4.51,24,1979,175.0,NORDKAPP,NORGE
1986002233,TF0092BD,REX LOBO 2,Fiskefartøy,Kyst,8.85,Under 11 m,3.16,7,1984,44.11764705882353,BÅTSFJORD,NORGE
1986002292,TF0017VS,IRENE,Fiskefartøy,Kyst,10.6,Under 11 m,3.9,12,1986,122.79411764705881,VADSØ,NORGE
1986002365,F 0102LB,BRENNGAM,Fiskefartøy,Kyst,8.82,Under 11 m,3.14,6,1986,69.85294117647058,LEBESBY,NORGE
1986003635,M 0010A,KNAPPEN,Fiskefartøy,Kyst,10.45,Under 11 m,3.55,11,1986,55.882352941176464,ÅLESUND,NORGE
1986003924,M 0030SØ,HAAVÆRBUEN,Fiskefartøy,Kyst,10.5,Under 11 m,3.58,12,1975,128.67647058823528,ÅLESUND,NORGE
1986004043,N 0102V,TORNADO,Samfiskefartøy,Kyst,10.99,Under 11 m,3.86,14,1986,165.44117647058823,VÅGAN,NORGE
1986004300,M 0083SA,SULAHAV,Fiskefartøy,Kyst,10.63,Under 11 m,3.08,7,1978,84.55882352941175,SULA,NORGE
1986004436,TF0060NK,TRYGVE B,Fiskefartøy,Hav,38.78,28 m og over ,8.0,496,1986,674.2647058823529,NORDKAPP,NORGE
1986004733,M 0214HØ,MULØYBUEN,Fiskefartøy,Kyst,13.68,"11-14,99 m",3.98,20,1986,96.3235294117647,HERØY i Møre og Romsdal,NORGE
1986006172,N 0068R,VARDEN,Fiskefartøy,Kyst,8.85,Under 11 m,3.11,7,1986,94.85294117647058,RØDØY,NORGE
1986006453,N 0093ME,JARLE A,Fiskefartøy,Kyst,9.24,Under 11 m,3.22,8,1986,52.94117647058823,MELØY,NORGE
1986007291,M 0219M,NORDHAUG SENIOR,Fiskefartøy,Kyst,12.97,"11-14,99 m",3.96,17,1980,161.76470588235293,MOLDE,NORGE
1986009201,M 0009AV,RANGØY,Fiskefartøy,Kyst,10.62,Under 11 m,3.89,12,1978,149.26470588235293,AVERØY,NORGE
1986009772,ST0021R,LOTHE,Fiskefartøy,Kyst,8.7,Under 11 m,3.2,8,1984,75.0,ÅFJORD,NORGE
1986010344,T 0027S,KAMPEN,Fiskefartøy,Kyst,8.17,Under 11 m,2.71,5,1982,62.49999999999999,SKJERVØY,NORGE
1986011079,TF0075LB,IBESTADVÆRING,Fiskefartøy,Kyst,8.63,Under 11 m,2.71,6,1974,95.58823529411764,LEBESBY,NORGE
1986011083,F 0024TN,VÅGEN,Fiskefartøy,Kyst,9.25,Under 11 m,3.2,8,1987,55.882352941176464,TANA,NORGE
1987000383,NT0338V,RÅSAGUTT,Fiskefartøy,Kyst,10.65,Under 11 m,3.46,12,1987,158.8235294117647,NÆRØYSUND,NORGE
1987000439,TF0045LB,PERNILLE MADELEN,Fiskefartøy,Kyst,10.05,Under 11 m,3.0,9,1985,62.49999999999999,LEBESBY,NORGE
1987000494,F 0001B,HAVPRINS,Fiskefartøy,Kyst,10.66,Under 11 m,3.91,12,1987,111.76470588235293,BERLEVÅG,NORGE
1987000556,N 0116BR,KVÆRSTEIN,Fiskefartøy,Kyst,10.86,Under 11 m,3.87,12,1978,111.76470588235293,BRØNNØY,NORGE
1987000597,N 0450VR,ØYASKJÆR,Fiskefartøy,Kyst større,24.05,"21-27,99 m",6.9,130,1983,735.2941176470588,VÆRØY,NORGE
1987001603,TF0014SE,MERKATOR,Fiskefartøy,Kyst,10.52,Under 11 m,3.66,12,1986,82.35294117647058,SENJA,NORGE
1987002785,F 0328L,KURT-VIDAR,Samfiskefartøy,Kyst,10.62,Under 11 m,3.85,6,1987,96.3235294117647,LOPPA,NORGE
